[ Logger_Oscar - 2025-09-15 14:07:28 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 5.8889389038086E-5 seconds
[ Logger_Oscar - 2025-09-15 14:07:35 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 5.6982040405273E-5 seconds
[ Logger_Oscar - 2025-09-15 14:07:51 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 4ade164c28bc103b903b1cc2aca45cdd ] Page generation time: 9.7990036010742E-5 seconds
[ Logger_Oscar - 2025-09-15 14:07:53 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 4ade164c28bc103b903b1cc2aca45cdd ] Page generation time: 0.00013899803161621 seconds
[ Logger_Oscar - 2025-09-15 14:07:56 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 0.10420989990234 seconds
[ Logger_Oscar - 2025-09-15 14:08:14 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 0.10496306419373 seconds
[ Logger_Oscar - 2025-09-15 14:08:16 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 0.097607851028442 seconds
[ Logger_Oscar - 2025-09-15 14:08:18 | Category: SUCCESS | URL: http://localhost/astracore/signup | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] New user created with ID:  (abcfdsagf)
[ Logger_Oscar - 2025-09-15 14:08:18 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 8d84767cdcf68d7806d60d087c83c611 ] Page generation time: 0.29378080368042 seconds
[ Logger_Oscar - 2025-09-16 13:46:14 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 0.0043141841888428 seconds
[ Logger_Oscar - 2025-09-16 13:46:34 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 0.00018882751464844 seconds
[ Logger_Oscar - 2025-09-16 13:46:48 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 0.00011301040649414 seconds
[ Logger_Oscar - 2025-09-16 13:46:52 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 9.7036361694336E-5 seconds
[ Logger_Oscar - 2025-09-16 13:46:55 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 8.5115432739258E-5 seconds
[ Logger_Oscar - 2025-09-16 13:46:56 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 6.9856643676758E-5 seconds
[ Logger_Oscar - 2025-09-16 13:46:57 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 6.3180923461914E-5 seconds
[ Logger_Oscar - 2025-09-16 13:46:59 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 6.8902969360352E-5 seconds
[ Logger_Oscar - 2025-09-16 13:47:01 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 237bc9f7b5a4fc4000491ac2784e7a8c ] Page generation time: 7.9870223999023E-5 seconds
